MMSI,DFSI,record_count,max_gap_hours,impossible_jump_km,draft_change_count,going_dark_events,draft_change_events,teleportation_events
257077550,0.000000,133,0.000,0.000,0,0,0,0
351988000,0.000000,51,0.000,0.000,0,0,0,0
266139000,0.000000,68,0.000,0.000,0,0,0,0
265061000,0.000000,202,0.000,0.000,0,0,0,0
219020188,0.000000,71,0.000,0.000,0,0,0,0
219007366,0.000000,52,0.000,0.000,0,0,0,0
210568000,0.000000,20,0.000,0.000,0,0,0,0
218162000,0.000000,46,0.000,0.000,0,0,0,0
265768860,0.000000,39,0.000,0.000,0,0,0,0
219024675,0.000000,55,0.000,0.000,0,0,0,0
211440370,0.000000,16,0.000,0.000,0,0,0,0
219015318,0.000000,2,0.000,0.000,0,0,0,0
219015103,0.000000,36,0.000,0.000,0,0,0,0
273432030,0.000000,226,0.000,0.000,0,0,0,0
265516360,0.000000,1,0.000,0.000,0,0,0,0
218022940,0.000000,3,0.000,0.000,0,0,0,0
219115000,0.000000,94,0.000,0.000,0,0,0,0
219034822,0.000000,32,0.000,0.000,0,0,0,0
219012521,0.000000,69,0.000,0.000,0,0,0,0
265619980,0.000000,71,0.000,0.000,0,0,0,0
219017917,0.000000,84,0.000,0.000,0,0,0,0
211411230,0.000000,53,0.000,0.000,0,0,0,0
219004002,0.000000,43,0.000,0.000,0,0,0,0
257583000,0.000000,146,0.000,0.000,0,0,0,0
636091784,0.000000,413,0.000,0.000,0,0,0,0
219035021,0.000000,151,0.000,0.000,0,0,0,0
563003300,0.000000,29,0.000,0.000,0,0,0,0
311050600,0.000000,44,0.000,0.000,0,0,0,0
219013538,0.000000,8,0.000,0.000,0,0,0,0
244915000,0.000000,109,0.000,0.000,0,0,0,0
219560000,0.000000,402,0.000,0.000,0,0,0,0
219022614,0.000000,6,0.000,0.000,0,0,0,0
211771340,0.000000,24,0.000,0.000,0,0,0,0
352002127,0.000000,45,0.000,0.000,0,0,0,0
636024737,0.000000,26,0.000,0.000,0,0,0,0
352001187,0.000000,127,0.000,0.000,0,0,0,0
219004265,0.000000,4,0.000,0.000,0,0,0,0
232058582,0.000000,139,0.000,0.000,0,0,0,0
219945000,0.000000,194,0.000,0.000,0,0,0,0
219000647,0.000000,73,0.000,0.000,0,0,0,0
211413470,0.000000,32,0.000,0.000,0,0,0,0
209864000,0.000000,99,0.000,0.000,0,0,0,0
314472000,0.000000,55,0.000,0.000,0,0,0,0
215436000,0.000000,110,0.000,0.000,0,0,0,0
538010660,0.000000,59,0.000,0.000,0,0,0,0
257271000,0.000000,23,0.000,0.000,0,0,0,0
211549170,0.000000,24,0.000,0.000,0,0,0,0
205770000,0.000000,31,0.000,0.000,0,0,0,0
209177000,0.000000,26,0.000,0.000,0,0,0,0
230715000,0.000000,161,0.000,0.000,0,0,0,0
563212100,0.000000,145,0.000,0.000,0,0,0,0
311055300,0.000000,109,0.000,0.000,0,0,0,0
258809000,0.000000,73,0.000,0.000,0,0,0,0
219024402,0.000000,4,0.000,0.000,0,0,0,0
210425000,0.000000,276,0.000,0.000,0,0,0,0
219230000,0.000000,27,0.000,0.000,0,0,0,0
219011032,0.000000,53,0.000,0.000,0,0,0,0
232046824,0.000000,30,0.000,0.000,0,0,0,0
211457860,0.000000,22,0.000,0.000,0,0,0,0
538003358,0.000000,334,0.000,0.000,0,0,0,0
245097000,0.000000,225,0.000,0.000,0,0,0,0
